squadra,avversario,home/away,punti,numero della giornata,punti cumulativi,punti avversario,punti cumulativi before match,punti avversario before match,differenza punti before match
Everton,West Ham,away,3,114,18,13,15,13,2
Wigan,Stoke,home,1,115,12,14,11,13,-2
Stoke,Wigan,away,1,115,14,12,13,11,2
Aston Villa,Middlesbrough,home,0,116,20,17,20,14,6
Middlesbrough,Aston Villa,away,3,116,17,20,14,20,-6
Blackburn,Chelsea,home,0,117,13,29,13,26,-13
Chelsea,Blackburn,away,3,117,29,13,26,13,13
Fulham,Newcastle,home,3,118,14,12,11,12,-1
Newcastle,Fulham,away,0,118,12,14,12,11,1
Man City,Tottenham,home,0,119,13,12,13,9,4
Tottenham,Man City,away,3,119,12,13,9,13,-4
Arsenal,Aston Villa,home,0,120,23,23,23,20,3
Aston Villa,Arsenal,away,3,120,23,23,20,23,-3
Blackburn,Sunderland,home,0,121,13,15,13,12,1
Sunderland,Blackburn,away,3,121,15,13,12,13,-1
Bolton,Liverpool,home,0,122,14,32,14,29,-15
Liverpool,Bolton,away,3,122,32,14,29,14,15
Fulham,Tottenham,home,3,123,17,12,14,12,2
Tottenham,Fulham,away,0,123,12,17,12,14,-2
Man United,Stoke,home,3,124,24,14,21,14,7
Stoke,Man United,away,0,124,14,24,14,21,-7
Newcastle,Wigan,home,1,125,13,13,12,12,0
Wigan,Newcastle,away,1,125,13,13,12,12,0
West Brom,Chelsea,home,0,126,11,32,11,29,-18
Chelsea,West Brom,away,3,126,32,11,29,11,18
West Ham,Portsmouth,home,1,127,14,18,13,17,-4
Portsmouth,West Ham,away,1,127,18,14,17,13,4
Everton,Middlesbrough,home,1,128,19,18,18,17,1
Middlesbrough,Everton,away,1,128,18,19,17,18,-1
Hull,Man City,home,1,129,21,14,20,13,7
Man City,Hull,away,1,129,14,21,13,20,-7
Aston Villa,Man United,home,1,130,24,25,23,24,-1
Man United,Aston Villa,away,1,130,25,24,24,23,1
Chelsea,Newcastle,home,1,131,33,14,32,13,19
Newcastle,Chelsea,away,1,131,14,33,13,32,-19
Liverpool,Fulham,home,1,132,33,18,32,17,15
Fulham,Liverpool,away,1,132,18,33,17,32,-15
Man City,Arsenal,home,3,133,17,23,14,23,-9
Arsenal,Man City,away,0,133,23,17,23,14,9
Middlesbrough,Bolton,home,0,134,18,17,18,14,4
Bolton,Middlesbrough,away,3,134,17,18,14,18,-4
Portsmouth,Hull,home,1,135,19,22,18,21,-3
Hull,Portsmouth,away,1,135,22,19,21,18,3
